trip_id,arrival_time,departure_time,stop_id,stop_sequence
T010,2025-03-03T09:51:51,2025-03-03T09:52:22,S001,12
T011,2025-03-03T09:23:00,2025-03-03T09:23:21,S001,1
T011,2025-03-03T09:27:22,2025-03-03T09:27:54,S002,2
T011,2025-03-03T09:31:18,2025-03-03T09:31:53,S003,3
T011,2025-03-03T09:35:10,2025-03-03T09:35:25,S004,4
T011,2025-03-03T09:39:09,2025-03-03T09:39:33,S005,5
T011,2025-03-03T09:43:04,2025-03-03T09:43:22,S006,6
T011,2025-03-03T09:48:52,2025-03-03T09:49:24,S007,7
T011,2025-03-03T09:53:19,2025-03-03T09:53:34,S008,8
T011,2025-03-03T09:58:27,2025-03-03T09:59:05,S009,9
T011,2025-03-03T10:04:11,2025-03-03T10:04:33,S010,10
T011,2025-03-03T10:08:05,2025-03-03T10:08:33,S011,11
T011,2025-03-03T10:12:16,2025-03-03T10:12:34,S012,12
T018,2025-03-03T07:02:00,2025-03-03T07:02:16,S024,1
T018,2025-03-03T07:07:26,2025-03-03T07:07:53,S023,2
T018,2025-03-03T07:12:22,2025-03-03T07:13:06,S022,3
T018,2025-03-03T07:16:21,2025-03-03T07:16:49,S021,4
T018,2025-03-03T07:20:58,2025-03-03T07:21:42,S020,5
T018,2025-03-03T07:26:22,2025-03-03T07:27:04,S019,6
T018,2025-03-03T07:30:11,2025-03-03T07:30:29,S018,7
T018,2025-03-03T07:35:50,2025-03-03T07:36:19,S017,8
T018,2025-03-03T07:40:40,2025-03-03T07:41:22,S016,9
T018,2025-03-03T07:44:44,2025-03-03T07:45:24,S015,10
T018,2025-03-03T07:50:28,2025-03-03T07:50:53,S014,11
T018,2025-03-03T07:54:00,2025-03-03T07:54:22,S013,12
T019,2025-03-03T07:22:00,2025-03-03T07:22:33,S013,1
T019,2025-03-03T07:27:39,2025-03-03T07:28:04,S014,2
T019,2025-03-03T07:31:58,2025-03-03T07:32:20,S015,3
T019,2025-03-03T07:36:53,2025-03-03T07:37:37,S016,4
T019,2025-03-03T07:40:52,2025-03-03T07:41:28,S017,5
T019,2025-03-03T07:46:15,2025-03-03T07:46:38,S018,6
T019,2025-03-03T07:49:51,2025-03-03T07:50:14,S019,7
T019,2025-03-03T07:55:47,2025-03-03T07:56:10,S020,8
T019,2025-03-03T08:00:53,2025-03-03T08:01:32,S021,9
T019,2025-03-03T08:05:04,2025-03-03T08:05:25,S022,10
T019,2025-03-03T08:10:24,2025-03-03T08:10:43,S023,11
T019,2025-03-03T08:15:33,2025-03-03T08:15:55,S024,12
T020,2025-03-03T07:38:00,2025-03-03T07:38:29,S024,1
T020,2025-03-03T07:43:04,2025-03-03T07:43:19,S023,2
T020,2025-03-03T07:46:57,2025-03-03T07:47:35,S022,3
T020,2025-03-03T07:52:04,2025-03-03T07:52:48,S021,4
T020,2025-03-03T07:56:49,2025-03-03T07:57:22,S020,5
T020,2025-03-03T08:01:40,2025-03-03T08:02:14,S019,6
T020,2025-03-03T08:07:41,2025-03-03T08:08:06,S018,7
T020,2025-03-03T08:11:55,2025-03-03T08:12:30,S017,8
T020,2025-03-03T08:16:18,2025-03-03T08:16:39,S016,9
T020,2025-03-03T08:19:56,2025-03-03T08:20:36,S015,10
T020,2025-03-03T08:24:52,2025-03-03T08:25:07,S014,11
T020,2025-03-03T08:28:46,2025-03-03T08:29:27,S013,12
T021,2025-03-03T08:03:00,2025-03-03T08:03:38,S013,1
T021,2025-03-03T08:08:07,2025-03-03T08:08:33,S014,2
T021,2025-03-03T08:13:22,2025-03-03T08:13:58,S015,3
T021,2025-03-03T08:19:04,2025-03-03T08:19:45,S016,4
T021,2025-03-03T08:23:18,2025-03-03T08:23:59,S017,5
T021,2025-03-03T08:28:12,2025-03-03T08:28:34,S018,6
T021,2025-03-03T08:32:35,2025-03-03T08:33:02,S019,7
T021,2025-03-03T08:37:10,2025-03-03T08:37:30,S020,8
T021,2025-03-03T08:43:05,2025-03-03T08:43:38,S021,9
T021,2025-03-03T08:47:00,2025-03-03T08:47:34,S022,10
T021,2025-03-03T08:52:55,2025-03-03T08:53:39,S023,11
T021,2025-03-03T08:57:30,2025-03-03T08:58:03,S024,12
T022,2025-03-03T08:18:00,2025-03-03T08:18:42,S024,1
T022,2025-03-03T08:23:52,2025-03-03T08:24:10,S023,2
T022,2025-03-03T08:28:27,2025-03-03T08:28:42,S022,3
T022,2025-03-03T08:34:10,2025-03-03T08:34:51,S021,4
T022,2025-03-03T08:38:44,2025-03-03T08:39:08,S020,5
T022,2025-03-03T08:43:01,2025-03-03T08:43:28,S019,6
T022,2025-03-03T08:47:07,2025-03-03T08:47:26,S018,7
T022,2025-03-03T08:51:06,2025-03-03T08:51:35,S017,8
T022,2025-03-03T08:56:02,2025-03-03T08:56:19,S016,9
T022,2025-03-03T09:01:33,2025-03-03T09:02:11,S015,10
T022,2025-03-03T09:06:11,2025-03-03T09:06:35,S014,11
T022,2025-03-03T09:11:12,2025-03-03T09:11:36,S013,12
T023,2025-03-03T08:43:00,2025-03-03T08:43:21,S013,1
T023,2025-03-03T08:48:07,2025-03-03T08:48:46,S014,2
T023,2025-03-03T08:52:16,2025-03-03T08:52:50,S015,3
T023,2025-03-03T08:56:54,2025-03-03T08:57:30,S016,4
T023,2025-03-03T09:02:21,2025-03-03T09:02:39,S017,5
T023,2025-03-03T09:06:02,2025-03-03T09:06:42,S018,6
T023,2025-03-03T09:10:46,2025-03-03T09:11:05,S019,7
T023,2025-03-03T09:14:17,2025-03-03T09:14:48,S020,8
T023,2025-03-03T09:19:15,2025-03-03T09:19:56,S021,9
T023,2025-03-03T09:25:21,2025-03-03T09:25:37,S022,10
T023,2025-03-03T09:30:40,2025-03-03T09:30:58,S023,11
T023,2025-03-03T09:35:17,2025-03-03T09:35:55,S024,12
T024,2025-03-03T08:57:00,2025-03-03T08:57:37,S024,1
T024,2025-03-03T09:03:10,2025-03-03T09:03:46,S023,2
T024,2025-03-03T09:07:51,2025-03-03T09:08:29,S022,3
T024,2025-03-03T09:12:25,2025-03-03T09:12:51,S021,4
T024,2025-03-03T09:17:48,2025-03-03T09:18:14,S020,5
T024,2025-03-03T09:23:49,2025-03-03T09:24:08,S019,6
T024,2025-03-03T09:28:07,2025-03-03T09:28:34,S018,7
T024,2025-03-03T09:32:56,2025-03-03T09:33:33,S017,8
T024,2025-03-03T09:36:51,2025-03-03T09:37:24,S016,9
T024,2025-03-03T09:42:02,2025-03-03T09:42:31,S015,10
T024,2025-03-03T09:47:30,2025-03-03T09:48:14,S014,11
T024,2025-03-03T09:51:48,2025-03-03T09:52:12,S013,12
T025,2025-03-03T09:19:00,2025-03-03T09:19:25,S013,1
T025,2025-03-03T09:23:11,2025-03-03T09:23:36,S014,2
T025,2025-03-03T09:27:34,2025-03-03T09:27:57,S015,3
T025,2025-03-03T09:31:05,2025-03-03T09:31:37,S016,4
T025,2025-03-03T09:35:23,2025-03-03T09:35:52,S017,5
T025,2025-03-03T09:39:31,2025-03-03T09:40:07,S018,6
T025,2025-03-03T09:44:13,2025-03-03T09:44:53,S019,7
T025,2025-03-03T09:48:19,2025-03-03T09:48:51,S020,8
T025,2025-03-03T09:52:18,2025-03-03T09:52:41,S021,9
T025,2025-03-03T09:58:05,2025-03-03T09:58:41,S022,10
T025,2025-03-03T10:02:14,2025-03-03T10:02:38,S023,11
T025,2025-03-03T10:06:39,2025-03-03T10:07:13,S024,12
T032,2025-03-03T07:00:00,2025-03-03T07:00:22,S036,1
T032,2025-03-03T07:04:55,2025-03-03T07:05:27,S035,2
T032,2025-03-03T07:10:39,2025-03-03T07:11:13,S034,3
T032,2025-03-03T07:14:58,2025-03-03T07:15:32,S033,4
T032,2025-03-03T07:19:52,2025-03-03T07:20:21,S032,5
T032,2025-03-03T07:24:50,2025-03-03T07:25:17,S031,6
T032,2025-03-03T07:30:29,2025-03-03T07:31:05,S030,7
T032,2025-03-03T07:35:09,2025-03-03T07:35:32,S029,8
T032,2025-03-03T07:39:56,2025-03-03T07:40:18,S028,9
T032,2025-03-03T07:45:32,2025-03-03T07:45:52,S027,10
T032,2025-03-03T07:49:08,2025-03-03T07:49:25,S026,11
T032,2025-03-03T07:54:59,2025-03-03T07:55:36,S025,12
T033,2025-03-03T07:20:00,2025-03-03T07:20:41,S025,1
T033,2025-03-03T07:25:17,2025-03-03T07:25:46,S026,2
T033,2025-03-03T07:30:47,2025-03-03T07:31:09,S027,3
T033,2025-03-03T07:35:39,2025-03-03T07:35:59,S028,4
T033,2025-03-03T07:39:31,2025-03-03T07:40:09,S029,5
T033,2025-03-03T07:45:03,2025-03-03T07:45:34,S030,6
T033,2025-03-03T07:50:53,2025-03-03T07:51:08,S031,7
T033,2025-03-03T07:56:21,2025-03-03T07:56:53,S032,8
T033,2025-03-03T07:59:59,2025-03-03T08:00:21,S033,9
T033,2025-03-03T08:05:27,2025-03-03T08:06:03,S034,10
T033,2025-03-03T08:11:10,2025-03-03T08:11:46,S035,11
T033,2025-03-03T08:15:42,2025-03-03T08:16:20,S036,12
T034,2025-03-03T07:38:00,2025-03-03T07:38:22,S036,1
T034,2025-03-03T07:41:32,2025-03-03T07:42:11,S035,2
T034,2025-03-03T07:46:31,2025-03-03T07:46:59,S034,3
T034,2025-03-03T07:50:57,2025-03-03T07:51:26,S033,4
T034,2025-03-03T07:56:40,2025-03-03T07:57:02,S032,5
T034,2025-03-03T08:00:54,2025-03-03T08:01:14,S031,6
T034,2025-03-03T08:05:02,2025-03-03T08:05:36,S030,7
T034,2025-03-03T08:09:02,2025-03-03T08:09:29,S029,8
T034,2025-03-03T08:12:39,2025-03-03T08:13:17,S028,9
T034,2025-03-03T08:18:26,2025-03-03T08:19:04,S027,10
T034,2025-03-03T08:23:45,2025-03-03T08:24:01,S026,11
T034,2025-03-03T08:28:54,2025-03-03T08:29:18,S025,12
T035,2025-03-03T08:00:00,2025-03-03T08:00:32,S025,1
T035,2025-03-03T08:05:06,2025-03-03T08:05:45,S026,2
T035,2025-03-03T08:10:15,2025-03-03T08:10:46,S027,3
T035,2025-03-03T08:15:34,2025-03-03T08:15:55,S028,4
T035,2025-03-03T08:20:42,2025-03-03T08:21:24,S029,5
T035,2025-03-03T08:24:33,2025-03-03T08:24:48,S030,6
T035,2025-03-03T08:28:59,2025-03-03T08:29:33,S031,7
T035,2025-03-03T08:32:59,2025-03-03T08:33:29,S032,8
T035,2025-03-03T08:37:01,2025-03-03T08:37:19,S033,9
T035,2025-03-03T08:40:59,2025-03-03T08:41:27,S034,10
T035,2025-03-03T08:46:50,2025-03-03T08:47:20,S035,11
T035,2025-03-03T08:51:12,2025-03-03T08:51:46,S036,12
T036,2025-03-03T08:18:00,2025-03-03T08:18:19,S036,1
T036,2025-03-03T08:22:09,2025-03-03T08:22:52,S035,2
T036,2025-03-03T08:25:59,2025-03-03T08:26:31,S034,3
T036,2025-03-03T08:30:21,2025-03-03T08:30:43,S033,4
T036,2025-03-03T08:35:46,2025-03-03T08:36:29,S032,5
T036,2025-03-03T08:41:35,2025-03-03T08:42:06,S031,6
T036,2025-03-03T08:47:34,2025-03-03T08:48:09,S030,7
T036,2025-03-03T08:51:26,2025-03-03T08:52:08,S029,8
T036,2025-03-03T08:56:11,2025-03-03T08:56:33,S028,9
T036,2025-03-03T09:00:51,2025-03-03T09:01:30,S027,10
T036,2025-03-03T09:06:52,2025-03-03T09:07:21,S026,11
T036,2025-03-03T09:10:28,2025-03-03T09:11:12,S025,12
T037,2025-03-03T08:41:00,2025-03-03T08:41:21,S025,1
T037,2025-03-03T08:46:17,2025-03-03T08:46:58,S026,2
T037,2025-03-03T08:50:33,2025-03-03T08:51:01,S027,3
T037,2025-03-03T08:56:26,2025-03-03T08:56:57,S028,4
T037,2025-03-03T09:00:59,2025-03-03T09:01:18,S029,5
T037,2025-03-03T09:04:35,2025-03-03T09:04:54,S030,6
T037,2025-03-03T09:09:50,2025-03-03T09:10:08,S031,7
T037,2025-03-03T09:15:44,2025-03-03T09:15:59,S032,8
T037,2025-03-03T09:20:43,2025-03-03T09:21:16,S033,9
T037,2025-03-03T09:26:08,2025-03-03T09:26:43,S034,10
T037,2025-03-03T09:30:56,2025-03-03T09:31:25,S035,11
T037,2025-03-03T09:34:32,2025-03-03T09:35:12,S036,12
T038,2025-03-03T09:02:00,2025-03-03T09:02:19,S036,1
T038,2025-03-03T09:07:04,2025-03-03T09:07:34,S035,2
T038,2025-03-03T09:13:08,2025-03-03T09:13:32,S034,3
T038,2025-03-03T09:17:26,2025-03-03T09:18:02,S033,4
T038,2025-03-03T09:23:21,2025-03-03T09:23:47,S032,5
T038,2025-03-03T09:27:11,2025-03-03T09:27:35,S031,6
T038,2025-03-03T09:30:57,2025-03-03T09:31:33,S030,7
T038,2025-03-03T09:34:57,2025-03-03T09:35:40,S029,8
T038,2025-03-03T09:38:49,2025-03-03T09:39:20,S028,9
T038,2025-03-03T09:44:54,2025-03-03T09:45:22,S027,10
T038,2025-03-03T09:48:44,2025-03-03T09:49:04,S026,11
T038,2025-03-03T09:53:37,2025-03-03T09:54:08,S025,12
T039,2025-03-03T09:23:00,2025-03-03T09:23:17,S025,1
T039,2025-03-03T09:26:35,2025-03-03T09:27:03,S026,2
T039,2025-03-03T09:31:37,2025-03-03T09:32:09,S027,3
T039,2025-03-03T09:35:49,2025-03-03T09:36:19,S028,4
T039,2025-03-03T09:40:13,2025-03-03T09:40:39,S029,5
T039,2025-03-03T09:44:43,2025-03-03T09:45:16,S030,6
T039,2025-03-03T09:49:58,2025-03-03T09:50:26,S031,7
T039,2025-03-03T09:54:26,2025-03-03T09:54:51,S032,8
T039,2025-03-03T09:59:04,2025-03-03T09:59:24,S033,9
T039,2025-03-03T10:03:44,2025-03-03T10:04:14,S034,10
T039,2025-03-03T10:07:52,2025-03-03T10:08:30,S035,11
T039,2025-03-03T10:14:01,2025-03-03T10:14:26,S036,12
T046,2025-03-03T07:01:00,2025-03-03T07:01:37,S048,1
T046,2025-03-03T07:06:15,2025-03-03T07:06:37,S047,2
T046,2025-03-03T07:10:56,2025-03-03T07:11:32,S046,3
T046,2025-03-03T07:15:41,2025-03-03T07:15:58,S045,4
T046,2025-03-03T07:20:05,2025-03-03T07:20:35,S044,5
T046,2025-03-03T07:25:30,2025-03-03T07:26:09,S043,6
T046,2025-03-03T07:29:46,2025-03-03T07:30:08,S042,7
T046,2025-03-03T07:35:00,2025-03-03T07:35:35,S041,8
T046,2025-03-03T07:40:46,2025-03-03T07:41:17,S040,9
T046,2025-03-03T07:44:35,2025-03-03T07:45:09,S039,10
T046,2025-03-03T07:50:02,2025-03-03T07:50:24,S038,11
T046,2025-03-03T07:54:10,2025-03-03T07:54:35,S037,12
T047,2025-03-03T07:23:00,2025-03-03T07:23:38,S037,1
T047,2025-03-03T07:28:06,2025-03-03T07:28:31,S038,2
T047,2025-03-03T07:34:02,2025-03-03T07:34:22,S039,3
T047,2025-03-03T07:38:22,2025-03-03T07:38:56,S040,4
T047,2025-03-03T07:42:08,2025-03-03T07:42:36,S041,5
T047,2025-03-03T07:46:08,2025-03-03T07:46:31,S042,6
T047,2025-03-03T07:51:40,2025-03-03T07:52:02,S043,7
T047,2025-03-03T07:55:53,2025-03-03T07:56:33,S044,8
T047,2025-03-03T08:01:51,2025-03-03T08:02:19,S045,9
T047,2025-03-03T08:07:47,2025-03-03T08:08:02,S046,10
T047,2025-03-03T08:13:01,2025-03-03T08:13:20,S047,11
T047,2025-03-03T08:18:13,2025-03-03T08:18:42,S048,12
T048,2025-03-03T07:38:00,2025-03-03T07:38:32,S048,1
T048,2025-03-03T07:43:39,2025-03-03T07:44:22,S047,2
T048,2025-03-03T07:47:33,2025-03-03T07:48:10,S046,3
T048,2025-03-03T07:52:44,2025-03-03T07:53:13,S045,4
T048,2025-03-03T07:57:46,2025-03-03T07:58:02,S044,5
T048,2025-03-03T08:01:18,2025-03-03T08:01:57,S043,6
T048,2025-03-03T08:07:22,2025-03-03T08:07:58,S042,7
T048,2025-03-03T08:11:55,2025-03-03T08:12:11,S041,8
T048,2025-03-03T08:16:42,2025-03-03T08:17:00,S040,9
T048,2025-03-03T08:21:19,2025-03-03T08:22:00,S039,10
T048,2025-03-03T08:27:24,2025-03-03T08:27:51,S038,11
T048,2025-03-03T08:31:26,2025-03-03T08:32:05,S037,12
T049,2025-03-03T07:59:00,2025-03-03T07:59:37,S037,1
T049,2025-03-03T08:04:14,2025-03-03T08:04:51,S038,2
T049,2025-03-03T08:08:57,2025-03-03T08:09:17,S039,3
T049,2025-03-03T08:12:28,2025-03-03T08:12:50,S040,4
T049,2025-03-03T08:17:45,2025-03-03T08:18:16,S041,5
T049,2025-03-03T08:23:24,2025-03-03T08:24:08,S042,6
T049,2025-03-03T08:29:19,2025-03-03T08:30:01,S043,7
T049,2025-03-03T08:33:28,2025-03-03T08:33:54,S044,8
T049,2025-03-03T08:38:38,2025-03-03T08:39:17,S045,9
T049,2025-03-03T08:43:28,2025-03-03T08:43:50,S046,10
T049,2025-03-03T08:49:00,2025-03-03T08:49:27,S047,11
T049,2025-03-03T08:53:53,2025-03-03T08:54:17,S048,12
T050,2025-03-03T08:22:00,2025-03-03T08:22:31,S048,1
T050,2025-03-03T08:26:49,2025-03-03T08:27:04,S047,2
T050,2025-03-03T08:30:44,2025-03-03T08:31:16,S046,3
T050,2025-03-03T08:36:18,2025-03-03T08:36:47,S045,4
T050,2025-03-03T08:41:12,2025-03-03T08:41:35,S044,5
T050,2025-03-03T08:46:51,2025-03-03T08:47:29,S043,6
T050,2025-03-03T08:51:46,2025-03-03T08:52:10,S042,7
T050,2025-03-03T08:55:52,2025-03-03T08:56:11,S041,8
T050,2025-03-03T09:00:18,2025-03-03T09:00:55,S040,9
T050,2025-03-03T09:04:50,2025-03-03T09:05:34,S039,10
T050,2025-03-03T09:10:13,2025-03-03T09:10:53,S038,11
T050,2025-03-03T09:16:07,2025-03-03T09:16:26,S037,12
T051,2025-03-03T08:38:00,2025-03-03T08:38:30,S037,1
T051,2025-03-03T08:43:50,2025-03-03T08:44:16,S038,2
T051,2025-03-03T08:48:02,2025-03-03T08:48:18,S039,3
T051,2025-03-03T08:53:23,2025-03-03T08:53:46,S040,4
T051,2025-03-03T08:59:15,2025-03-03T08:59:54,S041,5
T051,2025-03-03T09:05:03,2025-03-03T09:05:45,S042,6
T051,2025-03-03T09:10:32,2025-03-03T09:10:56,S043,7
T051,2025-03-03T09:15:49,2025-03-03T09:16:28,S044,8
T051,2025-03-03T09:21:23,2025-03-03T09:22:03,S045,9
T051,2025-03-03T09:27:30,2025-03-03T09:28:08,S046,10
T051,2025-03-03T09:31:16,2025-03-03T09:31:58,S047,11
T051,2025-03-03T09:35:20,2025-03-03T09:35:56,S048,12
T052,2025-03-03T09:02:00,2025-03-03T09:02:42,S048,1
T052,2025-03-03T09:06:37,2025-03-03T09:07:00,S047,2
T052,2025-03-03T09:10:26,2025-03-03T09:10:51,S046,3
T052,2025-03-03T09:14:28,2025-03-03T09:15:04,S045,4
T052,2025-03-03T09:18:26,2025-03-03T09:19:01,S044,5
T052,2025-03-03T09:24:31,2025-03-03T09:24:51,S043,6
T052,2025-03-03T09:28:00,2025-03-03T09:28:18,S042,7
T052,2025-03-03T09:31:31,2025-03-03T09:32:09,S041,8
T052,2025-03-03T09:36:11,2025-03-03T09:36:30,S040,9
T052,2025-03-03T09:41:00,2025-03-03T09:41:29,S039,10
T052,2025-03-03T09:46:53,2025-03-03T09:47:31,S038,11
T052,2025-03-03T09:53:02,2025-03-03T09:53:20,S037,12
T053,2025-03-03T09:19:00,2025-03-03T09:19:34,S037,1
T053,2025-03-03T09:22:47,2025-03-03T09:23:10,S038,2
T053,2025-03-03T09:28:21,2025-03-03T09:28:51,S039,3
T053,2025-03-03T09:32:33,2025-03-03T09:33:16,S040,4
T053,2025-03-03T09:37:44,2025-03-03T09:38:28,S041,5
T053,2025-03-03T09:42:32,2025-03-03T09:43:15,S042,6
T053,2025-03-03T09:48:07,2025-03-03T09:48:27,S043,7
T053,2025-03-03T09:51:50,2025-03-03T09:52:29,S044,8
T053,2025-03-03T09:57:24,2025-03-03T09:57:54,S045,9
T053,2025-03-03T10:02:40,2025-03-03T10:03:03,S046,10
T053,2025-03-03T10:07:21,2025-03-03T10:07:48,S047,11
T053,2025-03-03T10:11:35,2025-03-03T10:12:16,S048,12
T060,2025-03-03T07:01:00,2025-03-03T07:01:40,S060,1
T060,2025-03-03T07:06:48,2025-03-03T07:07:05,S059,2
T060,2025-03-03T07:12:23,2025-03-03T07:13:03,S058,3
T060,2025-03-03T07:17:55,2025-03-03T07:18:24,S057,4
T060,2025-03-03T07:23:31,2025-03-03T07:24:04,S056,5
T060,2025-03-03T07:28:41,2025-03-03T07:28:56,S055,6
T060,2025-03-03T07:33:58,2025-03-03T07:34:17,S054,7
T060,2025-03-03T07:37:25,2025-03-03T07:38:09,S053,8
T060,2025-03-03T07:43:22,2025-03-03T07:43:57,S052,9
T060,2025-03-03T07:47:24,2025-03-03T07:47:56,S051,10
T060,2025-03-03T07:52:00,2025-03-03T07:52:25,S050,11
T060,2025-03-03T07:56:38,2025-03-03T07:57:19,S049,12
T061,2025-03-03T07:23:00,2025-03-03T07:23:43,S049,1
T061,2025-03-03T07:28:11,2025-03-03T07:28:54,S050,2
